epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3264,1.3658,1.88515,1.15905,0.87296,0.77793,0.88119,0.54023,1.24943,1.14508,1.09856,0.000665567,0.000665567,0.000665567
2,94.8297,1.36314,1.24475,1.15379,0.88799,0.82229,0.88634,0.54554,1.28517,0.97595,1.13554,0.00130586,0.00130586,0.00130586
3,140.38,1.36588,1.17154,1.16528,0.85642,0.83112,0.88564,0.53605,1.29012,0.97017,1.12826,0.00191974,0.00191974,0.00191974
4,185.107,1.36196,1.0579,1.14046,0.88637,0.81947,0.89183,0.53059,1.26968,0.94334,1.11532,0.0018812,0.0018812,0.0018812
5,229.543,1.32318,0.97974,1.13174,0.89982,0.84804,0.90977,0.56734,1.2108,0.82926,1.0778,0.0018416,0.0018416,0.0018416
6,274.199,1.28065,0.93808,1.10357,0.9153,0.85771,0.93182,0.60862,1.19791,0.74589,1.05601,0.001802,0.001802,0.001802
7,319.414,1.28547,0.91589,1.1226,0.90529,0.86434,0.92278,0.5719,1.24583,0.77387,1.07637,0.0017624,0.0017624,0.0017624
8,364.085,1.27503,0.87191,1.10873,0.91838,0.88431,0.94118,0.59974,1.20444,0.71944,1.06567,0.0017228,0.0017228,0.0017228
9,409.209,1.2468,0.85255,1.08793,0.89647,0.89628,0.94491,0.62862,1.16997,0.69955,1.03379,0.0016832,0.0016832,0.0016832
10,453.977,1.24133,0.8469,1.08494,0.93529,0.86496,0.94527,0.60274,1.22143,0.72601,1.0766,0.0016436,0.0016436,0.0016436
11,497.62,1.19938,0.80735,1.07858,0.92133,0.88165,0.94885,0.6298,1.15988,0.6661,1.03786,0.001604,0.001604,0.001604
12,541.644,1.21523,0.79374,1.07136,0.94354,0.88697,0.95508,0.62634,1.16364,0.66396,1.03388,0.0015644,0.0015644,0.0015644
13,584.995,1.16911,0.75744,1.05867,0.91694,0.91021,0.95901,0.62186,1.14405,0.64097,1.03472,0.0015248,0.0015248,0.0015248
14,627.435,1.15756,0.7158,1.0507,0.95234,0.89495,0.95543,0.64373,1.12156,0.62888,1.01412,0.0014852,0.0014852,0.0014852
