epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.555,1.55173,4.5174,1.20581,0.04793,0.74148,0.09931,0.06655,1.18644,3.70017,0.94998,0.000121711,0.000121711,0.000121711
2,21.5158,1.26955,2.97893,1.01763,0.6998,0.31196,0.35543,0.25082,1.07712,2.03797,0.97496,0.000238979,0.000238979,0.000238979
3,29.7401,1.21998,1.79863,1.02887,0.44931,0.6388,0.62284,0.41871,1.1923,1.10783,1.02586,0.000350143,0.000350143,0.000350143
4,36.8812,1.15638,1.38233,1.01417,0.65628,0.76229,0.77169,0.54316,1.03463,0.85418,0.97622,0.000342528,0.000342528,0.000342528
5,43.9386,1.12147,1.15324,1.01316,0.75914,0.81452,0.82513,0.60515,0.97712,0.76233,0.95792,0.00033337,0.00033337,0.00033337
6,51.8613,1.0738,0.99914,0.98637,0.81919,0.90343,0.91707,0.66983,1.02139,0.68958,0.97095,0.000324212,0.000324212,0.000324212
7,58.9981,1.06383,0.92927,0.99489,0.91127,0.91351,0.9201,0.68562,0.95431,0.65073,0.95854,0.000315055,0.000315055,0.000315055
8,66.2259,1.04973,0.87439,0.98939,0.88029,0.95561,0.96073,0.71208,0.94191,0.62025,0.95321,0.000305897,0.000305897,0.000305897
9,74.0182,1.01735,0.81254,0.97983,0.90262,0.95247,0.9717,0.72197,0.95662,0.58615,0.9576,0.00029674,0.00029674,0.00029674
10,81.1182,1.01707,0.80224,0.98712,0.91527,0.9768,0.97451,0.712,0.99904,0.58275,0.96818,0.000287582,0.000287582,0.000287582
11,88.3014,1.01002,0.77428,0.97853,0.94948,0.97955,0.98088,0.73339,0.96452,0.5501,0.95842,0.000278425,0.000278425,0.000278425
12,95.6076,0.9991,0.75794,0.98461,0.93904,0.97997,0.98147,0.74188,0.95254,0.5492,0.95285,0.000269268,0.000269268,0.000269268
13,102.683,0.98821,0.74627,0.97473,0.93314,0.97761,0.98393,0.7311,0.96129,0.55331,0.95723,0.00026011,0.00026011,0.00026011
14,109.702,0.98541,0.73585,0.97597,0.95687,0.9829,0.98356,0.73458,0.94201,0.56789,0.94946,0.000250952,0.000250952,0.000250952
15,116.83,0.97805,0.73165,0.96938,0.96123,0.98745,0.9836,0.73743,0.9344,0.52923,0.95048,0.000241795,0.000241795,0.000241795
16,123.743,0.97732,0.72157,0.97044,0.96128,0.98565,0.98483,0.73851,0.95326,0.5418,0.95406,0.000232638,0.000232638,0.000232638
17,130.675,0.96423,0.70415,0.96808,0.94611,0.98081,0.98368,0.74237,0.92467,0.52188,0.95045,0.00022348,0.00022348,0.00022348
18,137.736,0.95072,0.68957,0.96188,0.94426,0.9792,0.98295,0.7502,0.92382,0.53706,0.94214,0.000214322,0.000214322,0.000214322
19,144.71,0.95968,0.68647,0.96861,0.95805,0.98465,0.98106,0.73379,0.95339,0.52485,0.95256,0.000205165,0.000205165,0.000205165
20,151.663,0.94172,0.67627,0.96432,0.95572,0.97414,0.98317,0.74301,0.92427,0.51525,0.94612,0.000196008,0.000196008,0.000196008
21,158.672,0.94046,0.66813,0.96325,0.96908,0.97558,0.98454,0.74554,0.92899,0.50394,0.94902,0.00018685,0.00018685,0.00018685
22,165.601,0.94647,0.6631,0.96039,0.9653,0.98123,0.9842,0.75051,0.91057,0.50271,0.94143,0.000177692,0.000177692,0.000177692
23,172.443,0.93318,0.64939,0.96172,0.97056,0.98491,0.98473,0.74431,0.93514,0.49693,0.94718,0.000168535,0.000168535,0.000168535
24,179.324,0.93036,0.6485,0.96158,0.96487,0.9831,0.98553,0.73959,0.92921,0.49683,0.94633,0.000159377,0.000159377,0.000159377
25,186.318,0.9195,0.64718,0.95568,0.96452,0.98192,0.98461,0.74725,0.91792,0.49335,0.94265,0.00015022,0.00015022,0.00015022
26,193.273,0.92211,0.64539,0.95584,0.97287,0.98258,0.98493,0.74944,0.91599,0.48627,0.94205,0.000141062,0.000141062,0.000141062
27,200.419,0.91355,0.63581,0.95044,0.97377,0.98446,0.98603,0.75045,0.90608,0.48217,0.93962,0.000131905,0.000131905,0.000131905
28,207.387,0.91085,0.62362,0.95776,0.96591,0.97998,0.98497,0.74868,0.91081,0.4826,0.93975,0.000122747,0.000122747,0.000122747
29,214.275,0.91142,0.63318,0.94851,0.97132,0.98078,0.98571,0.74634,0.91351,0.48298,0.94013,0.00011359,0.00011359,0.00011359
30,221.28,0.91123,0.62907,0.95703,0.95736,0.98571,0.98512,0.74981,0.90426,0.49061,0.93815,0.000104433,0.000104433,0.000104433
31,253.749,0.89343,0.63516,0.96112,0.96385,0.97731,0.98467,0.7492,0.92189,0.5098,0.94825,9.5275e-05,9.5275e-05,9.5275e-05
32,260.47,0.87948,0.58725,0.95811,0.96171,0.9775,0.98455,0.74568,0.92202,0.50669,0.94209,8.61175e-05,8.61175e-05,8.61175e-05
33,267.173,0.86638,0.56735,0.95393,0.96764,0.9849,0.98586,0.7481,0.91947,0.49603,0.94063,7.696e-05,7.696e-05,7.696e-05
34,273.997,0.85934,0.55773,0.94851,0.96788,0.98489,0.98609,0.74368,0.91316,0.4839,0.94012,6.78025e-05,6.78025e-05,6.78025e-05
35,280.822,0.85347,0.55188,0.94328,0.96831,0.98415,0.98615,0.74995,0.91486,0.47924,0.94048,5.8645e-05,5.8645e-05,5.8645e-05
36,287.51,0.84178,0.54676,0.94409,0.96811,0.98538,0.98587,0.74843,0.91944,0.47844,0.94217,4.94875e-05,4.94875e-05,4.94875e-05
37,294.529,0.84214,0.54466,0.94506,0.96814,0.98247,0.98613,0.74698,0.9225,0.47878,0.94253,4.033e-05,4.033e-05,4.033e-05
38,301.404,0.84017,0.54255,0.94292,0.96763,0.9863,0.98579,0.74832,0.91435,0.47725,0.93825,3.11725e-05,3.11725e-05,3.11725e-05
39,308.007,0.83313,0.53582,0.94103,0.96968,0.98634,0.98594,0.74913,0.92146,0.47582,0.94058,2.2015e-05,2.2015e-05,2.2015e-05
40,314.759,0.83126,0.53129,0.93938,0.96593,0.98658,0.98614,0.75035,0.92057,0.47426,0.93994,1.28575e-05,1.28575e-05,1.28575e-05
